shelfmark_shea_style,file,px,MB,description,credit,license,commons_page
"Diez A fol. 70, S. 22, no. 1","Ilkhanid Court Scene, early fourteenth century. SBB-PK, Diez A fol. 70, p. 22, no. 1.jpg",4551x6023,43.3,"Ilkhanid Court Scene, early fourteenth century. SBB-PK, Diez A fol. 70, p. 22, no. 1 The Diez Albums p.279",Diez Albums,Public domain,"https://commons.wikimedia.org/wiki/File:Ilkhanid_Court_Scene,_early_fourteenth_century._SBB-PK,_Diez_A_fol._70,_p._22,_no._1.jpg"
"Diez A fol. 70, S. 23",DiezAlbumsEnthronization3.jpg,2515x1571,0.9,"Enthronization of a Mongol ruler. Double-page illustration of Rashid-ad-Din's Gami' at-tawarih. Tabriz (?), 1st quarter of 14th century. Water colours on paper. Original size: 34.7 cm x 28.3 cm (right), 38.8 cm x 29.2 cm (left). Staatsbibliothek Berlin, Orientabteilung, Diez A fol. 70, p. 23 (right) and 20 (left). For only the left or only the right part of the illustration, see Image:DiezAlbumsEn","Dschingis Khan und seine Erben (exhibition catalogue), München 2005, p. 263",Public domain,https://commons.wikimedia.org/wiki/File:DiezAlbumsEnthronization3.jpg
"Diez A fol. 70, S. 23",DiezAlbumsEnthronization3 b.jpg,1226x1458,0.5,"Enthronization of a Mongol ruler. Right part of a double-page illustration of Rashid-ad-Din's Gami' at-tawarih. Tabriz (?), 1st quarter of 14th century. Water colours on paper. Original size: 34.7 cm x 28.3 cm. Staatsbibliothek Berlin, Orientabteilung, Diez A fol. 70, p. 23. For the complete illustration, see Image:DiezAlbumsEnthronization3.jpg .","Dschingis Khan und seine Erben (exhibition catalogue), München 2005, p. 263",Public domain,https://commons.wikimedia.org/wiki/File:DiezAlbumsEnthronization3_b.jpg
"Diez A fol. 70, S. 23, no. 1","Ilkhanid Court Scene, early fourteenth century. SBB-PK, Diez A fol. 70, p. 23, no. 1.jpg",4953x6023,48.2,"Ilkhanid Court Scene, early fourteenth century. SBB-PK, Diez A fol. 70, p. 23, no. 1 The Diez Albums p.279",Diez Albums,Public domain,"https://commons.wikimedia.org/wiki/File:Ilkhanid_Court_Scene,_early_fourteenth_century._SBB-PK,_Diez_A_fol._70,_p._23,_no._1.jpg"
"Diez A fol. 70, S. 47",DiezAlbumsDignitaries.jpg,2537x1796,1.2,"The Ilkhan handing out rewards. Illustration of Rashid-ad-Din's Gami' at-tawarih. Tabriz (?), 1st quarter of 14th century. Water colours on paper. Original size: 17.7 cm x 26.3 cm. Staatsbibliothek Berlin, Orientabteilung, Diez A fol. 70, p. 47. Valuable belts are handed out as rewards.","Dschingis Khan und seine Erben (exhibition catalogue), München 2005, p. 259",Public domain,https://commons.wikimedia.org/wiki/File:DiezAlbumsDignitaries.jpg
"Diez A fol. 70, S. 48",DiezAlbumsKhanAndKhatun.jpg,2422x1794,1.1,"Khan and Khatun talking. Illustration of Rashid-ad-Din's Gami' at-tawarih. Tabriz (?), 1st quarter of 14th century. Water colours on paper. Original size: 20.2 cm x 26.2 cm. Staatsbibliothek Berlin, Orientabteilung, Diez A fol. 70, p. 48.","Dschingis Khan und seine Erben (exhibition catalogue), München 2005, p. 262",Public domain,https://commons.wikimedia.org/wiki/File:DiezAlbumsKhanAndKhatun.jpg
"Diez A fol. 70, S. 49",DiezAlbumsExecution.jpg,1659x1154,0.5,"Execution. Illustration of Rashid-ad-Din's Gami' at-tawarih. Tabriz (?), 1st quarter of 14th century. Water colours on paper. Original size: 18.5 cm x 26.2 cm. Staatsbibliothek Berlin, Orientabteilung, Diez A fol. 70, p. 49. The executed - long and full beard probably means he is not a Mongol - has been thrown off a cliff.","Dschingis Khan und seine Erben (exhibition catalogue), München 2005, p. 256",Public domain,https://commons.wikimedia.org/wiki/File:DiezAlbumsExecution.jpg
"Diez A fol. 70, S. 58",DiezAlbumsArmedRiders I.jpg,1658x1359,0.5,"Mounted warriors pursue enemies. Illustration of Rashid-ad-Din's Gami' at-tawarih. Tabriz (?), 1st quarter of 14th century. Water colours on paper. Original size: 21.2 cm x 26.2 cm. Staatsbibliothek Berlin, Orientabteilung, Diez A fol. 70, p. 58. Probably a conflict between Mongols. See also Image:DiezAlbumsArmedRiders_II.jpg .",Kunst- und Ausstellungshalle der Bundesrepublik Deutschland; Staatliches Museum für Völkerkunde München (2005) Dschingis Khan und seine Erben: das Wel,Public domain,https://commons.wikimedia.org/wiki/File:DiezAlbumsArmedRiders_I.jpg
"Diez A fol. 70, S. 58",DiezAlbumsArmedRiders I (cropped1to1).jpg,1276x1275,0.4,"Mounted warriors pursue enemies. Illustration of Rashid-ad-Din's Gami' at-tawarih. Tabriz (?), 1st quarter of 14th century. Water colours on paper. Original size: 21.2 cm x 26.2 cm. Staatsbibliothek Berlin, Orientabteilung, Diez A fol. 70, p. 58. Probably a conflict between Mongols. See also Image:DiezAlbumsArmedRiders_II.jpg .","Dschingis Khan und seine Erben (exhibition catalogue), München 2005, p. 255",Public domain,https://commons.wikimedia.org/wiki/File:DiezAlbumsArmedRiders_I_(cropped1to1).jpg
"Diez A fol. 70, S. 59",DiezAlbumsArmedRiders II.jpg,1648x1150,0.5,"Mounted warriors pursue enemies. Illustration of Rashid-ad-Din's Gami' at-tawarih. Tabriz (?), 1st quarter of 14th century. Water colours on paper. Original size: 17.5 cm x 25.8 cm. Staatsbibliothek Berlin, Orientabteilung, Diez A fol. 70, p. 59. Probably a conflict between Mongols. See also Image:DiezAlbumsArmedRiders_I.jpg .","Dschingis Khan und seine Erben (exhibition catalogue), München 2005, p. 255",Public domain,https://commons.wikimedia.org/wiki/File:DiezAlbumsArmedRiders_II.jpg
